,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
457,,2612307.6923,2490764.7059,2229100.0,2412850.0,2220150.0,2257500.0,2016250.0,2133750.0,2619425.0,,3155153.8462
466,,460000.0,,,565000.0,562058.8235,,533076.9231,,,,430000.0
468,,,,,415000.0,,,,,,,
473,,452500.0,,448269.2308,,437769.2308,482647.0588,503350.0,497650.0,477750.0,479250.0,483900.0
477,607500.0,,761730.7692,747411.7647,,639615.3846,667058.8235,670500.0,677750.0,678250.0,,
512,,,,,,,,598000.0,,507230.7692,,
518,,,,,,432000.0,424941.1765,,428846.1538,,,450000.0
529,,,,,,,,,,,,
539,,,,,,,,,,,,
548,539000.0,,547461.5385,550000.0,562500.0,571250.0,548750.0,541625.0,561625.0,576500.0,573250.0,567250.0
559,,,,,,,634000.0,,627076.9231,,,635000.0
574,,,,675000.0,,709615.3846,752352.9412,765250.0,781450.0,782800.0,,672538.4615
578,,,699000.0,,,,,,648500.0,678794.1176,,
608,,,,,,,,,,,,
670,,,,,,,,,,,,
709,,,,,,,,,,,,
739,,,,,,,,,,,,
743,,1150000.0,,,544750.0,580500.0,,,641153.8462,652058.8235,648225.0,652775.0
782,,,292500.0,299852.9412,301875.0,326625.0,323875.0,342700.0,,,331000.0,322176.4706
783,,,,,,,,,,,,
795,,1660000.0,1564764.7059,1630700.0,,1474076.9231,1538235.2941,1464750.0,1673000.0,1842250.0,,
797,,,,,,,,,,,,
808,,,,,,,,,,,,
838,,,,,,,,,,,,
857,,,,560000.0,,569230.7692,529647.0588,565800.0,,579230.7692,,558461.5385
885,,,,,510000.0,502352.9412,,514692.3077,496470.5882,503500.0,,
904,,,,,,,,,,578000.0,,
925,,,,,,,,,,,,
935,,,,,,,,,610000.0,,,
959,,,295500.0,316970.5882,300525.0,280300.0,,291923.0769,267647.0588,275750.0,263250.0,276500.0
964,,,,843500.0,817911.7647,831525.0,,,,,,
983,,,,,,,,,,,,
1033,,,,,,,,,,,,
1036,,,,,,,,,,,,
1042,,,,,,,,,,,,
1065,,,,,,,,,,,,
1104,,,,,,,,,,,,
1120,,,,,,,,,,,,
1125,,,,,,,630000.0,604705.8824,,,,
1159,,,,,,,,,,,,
1164,,,,,,,,,,,,
1182,,,,,,,,,,,,
1216,,,,,,,,,,,,
1276,,,,,,,,,,,,
1281,,,,,,752000.0,,,,,,
1309,,,,,,,,,,1450000.0,,
1318,,,,,,,,,,,,
1359,,,,,,,,,,,,
1389,,,,,,,,,,,,
1392,,,,,,875000.0,,,,,,
1487,,,,,,,,,,,,
1488,,,,,,,,,,,,
1501,,,,,,,,,,,,
1502,,,2900000.0,,,,,,,,,
1514,,,,930000.0,1080000.0,988000.0,1081375.0,1037625.0,,,,978000.0
1552,,,,,,864000.0,,,,,,
1601,,,,,,,,,,,,
1627,,,,,,,,,,,,
1668,,,,,,,,,,,,
1690,,,,,,,,,,,,
1698,,,,,,,,,,,,
1727,,,,,,,,,,,,
1872,,,,,,,,,,,,
1889,,,,,,,,,,,,
2067,,,,,,,,,,,,
2133,,,,,,860000.0,,,,,925000.0,883823.5294
2196,,,,,,,,,,,,
2228,,,,,,,,,,,,
2331,,,,,,,,,,,,
2358,,,,,,,,,,,,
2371,,,,,,,,,,,,
2401,,,,,,,,,,,,
2470,,,,,,,,,,,,
2580,,,,,,,,,,,,
2608,,,,,,,,,,,,
2659,,,,,,,,,,,,
2797,,,,,,,,,,,,
2855,,,,,,,,,,,,
2879,,,,,,,,,,,,
2960,,,,,,,,,,,,
3020,,,,,,,,,,,,
3059,,,,,,,,,,,,
3156,,,,,,,,,,,,
3364,,,,,,,,,,,,
3446,,,,,,,,,,,,
3725,,,,,,,,,,,,
3826,,,,,,,,,,,,
4121,,,,,,,,,,,,
4226,,,,,,,,,,,,
4243,,,,,,,,,,,,
4282,,,,,,,,,,,,
4283,,,,,,,,,,,,
4397,827692.3077,,,,,815000.0,909117.6471,,,,,
4402,461225.0,,446769.2308,441352.9412,468100.0,492375.0,492125.0,477300.0,465200.0,475250.0,502650.0,494600.0
